chrom	n_snps	n_snps_excluded	annotations	mean_weight_ldscore	min_weight_ldscore	max_weight_ldscore
1	731644	0	['outside_region', 'within_region']	94.92156378781421	1.0	1210.368943437934
2	779648	0	['outside_region', 'within_region']	104.01672615907381	1.0	1908.638182297349
3	657978	0	['outside_region', 'within_region']	108.55088420103904	1.0	982.6514570936561
4	673438	0	['outside_region', 'within_region']	114.227831892612	1.0	1081.20556974411
5	596354	0	['outside_region', 'within_region']	108.61864559601537	1.0	1229.0425464063883
6	552900	67738	['outside_region', 'within_region']	118.54032997395782	1.0	1605.87149592489
7	552713	0	['outside_region', 'within_region']	110.17656864087996	1.0	1396.3184408396482
8	507260	0	['outside_region', 'within_region']	114.19919626339066	1.0	2146.3287997469306
9	418677	0	['outside_region', 'within_region']	87.84685413171249	1.0	938.3620931580663
10	480076	0	['outside_region', 'within_region']	135.88404809279945	1.0	3875.9920088797808
11	460270	0	['outside_region', 'within_region']	184.476493899034	1.0	4071.8174032643437
12	445001	0	['outside_region', 'within_region']	111.27805387889606	1.0	1992.0429612323642
13	343495	0	['outside_region', 'within_region']	97.23825336168402	1.0	816.533864453435
14	306600	0	['outside_region', 'within_region']	100.83182008803605	1.0	1424.2863781303167
15	271342	0	['outside_region', 'within_region']	94.8042857821206	1.0	954.164627186954
16	292560	0	['outside_region', 'within_region']	73.22309148544774	1.0	705.4885402321815
17	253972	0	['outside_region', 'within_region']	133.03148573906398	1.0	3742.3886817991734
18	263943	0	['outside_region', 'within_region']	80.89393582722334	1.0	572.9409572258592
19	218095	0	['outside_region', 'within_region']	88.85263717917043	1.0	1145.2346310466528
20	216515	0	['outside_region', 'within_region']	91.05720953850044	1.0	1215.1165040582418
21	135795	0	['outside_region', 'within_region']	72.86671818293426	1.0	535.8090601190925
22	141003	0	['outside_region', 'within_region']	78.18324230579198	1.0	665.3256840407848
