trait	sumstats	ldsc_log	mixer_list	ldsc_status	mixer_status	ldsc_total_h2	ldsc_total_h2_se	ldsc_lambda_gc	ldsc_mean_chi2	ldsc_intercept	ldsc_intercept_se	ldsc_ratio	ldsc_ratio_se	ldsc_h2_outside_region	ldsc_h2_within_region	ldsc_h2_se_outside_region	ldsc_h2_se_within_region	ldsc_prop_snps_outside_region	ldsc_prop_snps_within_region	ldsc_prop_h2_outside_region	ldsc_prop_h2_within_region	ldsc_enrichment_outside_region	ldsc_enrichment_within_region	ldsc_coef_outside_region	ldsc_coef_within_region	ldsc_coef_se_outside_region	ldsc_coef_se_within_region	mixer_enrichment_outside_region	mixer_enrichment_outside_region_se	mixer_enrichment_within_region	mixer_enrichment_within_region_se	mixer_total_h2	mixer_total_h2_se	mixer_h2_outside_region	mixer_h2_within_region
FIXED.Schizophrenia.Trubetskoy2022	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/FIXED.Schizophrenia.Trubetskoy2022.sumstats.gz	results/sldsc_sumstats_107/FIXED.Schizophrenia.Trubetskoy2022.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_FIXED.Schizophrenia.Trubetskoy2022_list.txt	ok	ok	0.3748	0.0131	1.6236	1.8605	1.1637	0.0071	0.1903	0.0082	0.3546	0.0202	0.0122	0.0082	0.9947	0.0053	0.946	0.054	0.951	10.2454	5.8423e-08	6.294e-07	2.0033e-09	2.5507e-07	0.9470464585996718	0.010782611445688615	11.130568791493985	2.0628268499870903	0.4557417086915453	0.00839660797453913	0.42936423951741576	0.026377469174127848
GBMI.Abdominal_Aortic_Aneurysm	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/GBMI.Abdominal_Aortic_Aneurysm.sumstats.gz	results/sldsc_sumstats_107/GBMI.Abdominal_Aortic_Aneurysm.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_GBMI.Abdominal_Aortic_Aneurysm_list.txt	ok	ok	0.0043	0.0006	1.1038	1.1239	1.0377	0.0066	0.3041	0.0532	0.0045	-0.0002	0.0006	0.0004	0.9947	0.0053	1.0509	-0.0509	1.0565	-9.6524	7.4958e-10	-6.8486e-09	9.7912e-11	1.1757e-08	1.0052271044686851	2.220446049250313e-16	0.0	0.0	0.004088102221080122	0.00036808838153605164	0.004088102221080122	0.0
GBMI.Acute_Appendicitis	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/GBMI.Acute_Appendicitis.sumstats.gz	results/sldsc_sumstats_107/GBMI.Acute_Appendicitis.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_GBMI.Acute_Appendicitis_list.txt	ok	ok	0.0042	0.0007	1.0775	1.1055	1.0399	0.0077	0.3779	0.0725	0.0037	0.0005	0.0007	0.0005	0.9947	0.0053	0.8712	0.1288	0.8758	24.4334	6.0563e-10	1.6896e-08	1.1209e-10	1.5699e-08	0.9007833689033594	0.07839878361260297	19.98118388317257	14.998510950431559	0.004034682366280508	0.000515617501875512	0.0036154763020184405	0.0004192060642620712
GBMI.Asthma	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/GBMI.Asthma.sumstats.gz	results/sldsc_sumstats_107/GBMI.Asthma.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_GBMI.Asthma_list.txt	ok	ok	0.0305	0.0023	1.4948	1.7712	1.1801	0.0156	0.2335	0.0202	0.0291	0.0014	0.0022	0.0008	0.9947	0.0053	0.9552	0.0448	0.9603	8.4991	4.7973e-09	4.246e-08	3.6392e-10	2.5879e-08	0.9595495164733521	0.014799844768464224	8.738602465090997	2.831365789058158	0.029266802495451303	0.0007653266767403113	0.027936916999541966	0.0013298854959093672
GBMI.Primary_Apen_Angle_Glaucoma	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/GBMI.Primary_Apen_Angle_Glaucoma.sumstats.gz	results/sldsc_sumstats_107/GBMI.Primary_Apen_Angle_Glaucoma.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_GBMI.Primary_Apen_Angle_Glaucoma_list.txt	ok	ok	0.0079	0.0009	1.1088	1.1878	1.0544	0.0102	0.2895	0.0544	0.0076	0.0003	0.0008	0.0005	0.9947	0.0053	0.967	0.033	0.9721	6.2618	1.2548e-09	8.0826e-09	1.3591e-10	1.6616e-08	0.9674388692652663	0.03854323246108489	7.229286391693445	7.373725298968559	0.007594989935946533	0.0005308050964889486	0.007309481054628796	0.00028550888131773685
PANUKBB.Atrial_Fibrillation_And_Flutter	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PANUKBB.Atrial_Fibrillation_And_Flutter.sumstats.gz	results/sldsc_sumstats_107/PANUKBB.Atrial_Fibrillation_And_Flutter.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PANUKBB.Atrial_Fibrillation_And_Flutter_list.txt	ok	ok	0.0261	0.0028	1.1459	1.2334	1.0735	0.0127	0.3147	0.0545	0.0253	0.0008	0.0027	0.0019	0.9947	0.0053	0.9675	0.0325	0.9726	6.1634	4.1627e-09	2.6378e-08	4.5136e-10	5.9783e-08	1.0052271044686825	2.220446049250313e-16	0.0	0.0	0.02709836919189814	0.001364891019119472	0.02709836919189814	0.0
PANUKBB.Blood_Clot_DVT_Bronchitis_Emphysema_Asthma_Rhinitis_Eczema_Allergy_Diagnosed_By_Doctor	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PANUKBB.Blood_Clot_DVT_Bronchitis_Emphysema_Asthma_Rhinitis_Eczema_Allergy_Diagnosed_By_Doctor.sumstats.gz	results/sldsc_sumstats_107/PANUKBB.Blood_Clot_DVT_Bronchitis_Emphysema_Asthma_Rhinitis_Eczema_Allergy_Diagnosed_By_Doctor.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PANUKBB.Blood_Clot_DVT_Bronchitis_Emphysema_Asthma_Rhinitis_Eczema_Allergy_Diagnosed_By_Doctor_list.txt	ok	ok	0.0764	0.0052	1.3719	1.629	1.1729	0.0142	0.2749	0.0226	0.0736	0.0029	0.0056	0.003	0.9947	0.0053	0.9622	0.0378	0.9673	7.1695	1.2118e-08	8.982e-08	9.1773e-10	9.3044e-08	0.9666702090476248	0.01808194235378625	7.3763391667515945	3.45926553833337	0.07053380423231384	0.002228089493535982	0.06782838124745323	0.0027054229848606187
PANUKBB.Breast_Cancer_female	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PANUKBB.Breast_Cancer_female.sumstats.gz	results/sldsc_sumstats_107/PANUKBB.Breast_Cancer_female.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PANUKBB.Breast_Cancer_female_list.txt	ok	ok	0.0303	0.0042	1.0895	1.1342	1.0362	0.0084	0.2698	0.0625	0.0282	0.002	0.0038	0.0024	0.9947	0.0053	0.9324	0.0676	0.9374	12.8192	4.6493e-09	6.3583e-08	6.3084e-10	7.6077e-08	0.9522303148369855	0.05456914858639299	10.138842632514592	10.439651419504454	0.025424462558162313	0.0025408133132683234	0.024084054119408484	0.0013404084387538618
PANUKBB.C44_Other_Malignant_Neoplasms_Of_Skin	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PANUKBB.C44_Other_Malignant_Neoplasms_Of_Skin.sumstats.gz	results/sldsc_sumstats_107/PANUKBB.C44_Other_Malignant_Neoplasms_Of_Skin.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PANUKBB.C44_Other_Malignant_Neoplasms_Of_Skin_list.txt	ok	ok	0.0236	0.0037	1.1144	1.186	1.0512	0.0126	0.2752	0.0678	0.0178	0.0058	0.0033	0.0029	0.9947	0.0053	0.7548	0.2452	0.7588	46.5022	2.9352e-09	1.7988e-07	5.4678e-10	9.1397e-08	0.7840896393325766	0.04764235449306743	42.305920316109074	9.114482937637511	0.01957861824454398	0.001474550193234075	0.015271565648947247	0.0043070525955968145
PANUKBB.Diverticulosis_And_Diverticulitis	/cluster/projects/nn9114k/datngu/database/alkes_group_data/sumstats_107/PANUKBB.Diverticulosis_And_Diverticulitis.sumstats.gz	results/sldsc_sumstats_107/PANUKBB.Diverticulosis_And_Diverticulitis.sldsc_sv.log	/cluster/projects/nn9114k/datngu/projects/mixer_sv/saga_results_107/univar_PANUKBB.Diverticulosis_And_Diverticulitis_list.txt	ok	ok	0.046	0.0032	1.2564	1.3381	1.0838	0.01	0.2478	0.0294	0.0433	0.0027	0.0032	0.0022	0.9947	0.0053	0.9406	0.0594	0.9456	11.2575	7.1346e-09	8.4935e-08	5.3467e-10	6.7257e-08	0.9353393493512462	0.02647588398763771	13.370261783773671	5.065114758325146	0.04463632562592003	0.001991689572515402	0.04153301436340155	0.0031033112625183713
